draft_year,pick,player,cluster,cluster_label,pca_x,pca_y,age_at_draft,height,weight,wingspan,has_combine,pos,ws_first4,surplus
2000,36,Soumaila Samake,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,22.0,77.75,214.0,82.75,False,C,0.3,-4.134285714285714
2000,37,Eddie House,2,small guards,-3.671947354292278,0.2117650868791282,22.0,71.75,176.5,75.5,True,PG,2.7,-1.6038095238095238
2000,38,Eduardo Nájera,0,wings/mid-size,0.8891611045354472,0.5714196908075626,24.0,78.5,234.5,83.5,True,PF,10.2,6.116190476190476
2000,39,Lavor Postell,0,wings/mid-size,-0.9190628198845965,0.053203156202683344,22.0,76.5,205.0,80.5,True,SG,-0.3,-4.3238095238095235
2000,40,Hanno Möttölä,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,24.0,77.75,214.0,82.75,False,SF,0.9,-2.976190476190476
2000,41,Chris Carrawell,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,SG,0.0,-3.3819047619047615
2000,42,Olumide Oyedeji,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,19.0,77.75,214.0,82.75,False,C,1.1,-2.0990476190476186
2000,43,Michael Redd,0,wings/mid-size,-0.5228964127182578,0.31635984621274627,21.0,76.75,214.0,81.0,True,SG,22.2,19.054285714285715
2000,44,Brian Cardinal,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,23.0,77.75,214.0,82.75,False,PF,7.4,4.472380952380952
2000,45,Jabari Smith,1,bigs,2.3213798876291434,-0.026520293561314676,23.0,81.75,240.5,86.5,True,C,0.7,-1.9990476190476192
2000,46,DeeAndre Hulett,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,SG,0.0,-2.4657142857142857
2000,47,Josip Sesar,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,SG,0.0,-2.56
2000,48,Mark Karcher,0,wings/mid-size,-0.7607008084928925,0.7170337476749032,21.0,76.0,218.0,80.0,True,SG,0.0,-2.3533333333333335
2000,49,Jason Hart,2,small guards,-2.6481775422002785,-0.2160851323132407,22.0,73.75,181.0,78.0,True,PG,2.2,0.04190476190476211
2000,50,Kaniel Dickens,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,22.0,77.75,214.0,82.75,False,PF,0.0,-1.9266666666666665
2000,51,Igor Rakočević,2,small guards,-2.537671303581481,-0.08377649336797806,22.0,74.5,184.0,77.25,True,PG,0.1,-1.5295238095238093
2000,52,Ernest Brown,1,bigs,1.6482174283937328,-0.6134852967493855,21.0,82.0,222.5,85.25,True,C,-0.2,-1.4276190476190476
2000,53,Dan McClintock,1,bigs,2.676129723629378,0.34159119131928345,23.0,83.0,250.0,85.5,True,C,0.0,-0.936190476190476
2000,54,Cory Hightower,0,wings/mid-size,-0.8496062808738677,-1.3245048414086678,21.0,77.5,183.0,83.0,True,SG,0.0,-0.8266666666666668
2000,55,Chris Porter,0,wings/mid-size,-0.2660493478560355,0.1493257431463131,22.0,77.5,214.0,81.5,True,SF,0.2,-0.41619047619047617
2000,56,Jaquay Walls,2,small guards,-3.830165758501002,-0.28609140529878235,21.0,73.25,165.5,74.5,True,SG,0.0,-0.6047619047619047
2000,57,Scoonie Penn,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,SG,0.0,-0.5459383753501401
2000,58,Pete Mickeal,0,wings/mid-size,-0.15443679111797548,0.538836999940293,21.0,77.0,222.0,81.5,True,SG,0.0,-0.7651050420168067
2001,1,Kwame Brown,1,bigs,2.170314295909567,0.25590602367502757,19.0,82.0,243.0,85.0,True,PF,8.8,-8.798412698412697
2001,2,Tyson Chandler,1,bigs,2.3411484462322174,-0.9929166783569655,19.0,83.5,224.0,87.0,True,C,15.9,-0.7440476190476186
2001,3,Pau Gasol,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,PF,31.0,14.973333333333333
2001,4,Eddy Curry,1,bigs,4.896978791474231,1.7711059756048757,19.0,82.5,301.0,90.5,True,C,12.6,-1.3095238095238102
2001,5,Jason Richardson,0,wings/mid-size,-0.09168083240112755,-0.07892795639806388,21.0,76.75,213.0,83.5,True,SG,17.5,3.5580952380952375
2001,6,Shane Battier,0,wings/mid-size,0.938350884835228,0.265263164916567,23.0,80.25,229.0,82.5,True,SF,24.7,12.966666666666667
2001,7,Eddie Griffin,1,bigs,1.7905471000433502,-0.7859384015196749,19.0,81.25,222.0,87.0,True,PF,9.5,-1.7409523809523826
2001,8,DeSagana Diop,1,bigs,5.147125276042573,2.3640149138114364,20.0,82.0,314.0,90.5,True,C,0.5,-10.097142857142858
2001,9,Rodney White,1,bigs,1.3447522374277052,0.7890458161412517,21.0,79.5,243.0,83.5,True,SF,1.7,-8.266666666666666
2001,10,Joe Johnson,0,wings/mid-size,0.2497519252359773,0.5482144154675433,20.0,78.75,226.0,81.0,True,SG,16.7,7.346666666666666
2001,11,Kedrick Brown,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,20.0,77.75,214.0,82.75,False,SF,3.0,-6.617142857142857
2001,12,Vladimir Radmanović,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,PF,12.7,3.5999999999999996
