draft_year,pick,player,wiki_title,views_predraft,hype,surplus
2017,10,Zach Collins,Zach Collins,96516.0,4.9846038144417415,-5.553333333333334
2017,11,Malik Monk,Malik Monk,243426.0,5.386368746863185,-7.617142857142857
2017,12,Luke Kennard,Luke Kennard,14038.0,4.147336174036738,0.5999999999999996
2017,13,Donovan Mitchell,Donovan Mitchell,1419.0,3.1522883443830563,13.22952380952381
2017,14,Bam Adebayo,Bam Adebayo,3785.0,3.5781806096277777,20.36857142857143
2017,15,Justin Jackson,"Justin Jackson (basketball, born 1995)",143434.0,5.156655137748656,-2.1609523809523807
2017,16,Justin Patton,Justin Patton,7548.0,3.877889425371484,-6.859047619047619
2017,17,D.J. Wilson,D. J. Wilson,3250.0,3.5120169694961265,-4.824761904761905
2017,18,T.J. Leaf,T. J. Leaf,156694.0,5.1950551387337205,-4.263809523809523
2017,19,John Collins,John Collins (basketball),4148.0,3.617943434828973,15.164761904761905
2017,20,Harry Giles,Harry Giles III,0.0,0.0,-4.846666666666668
2017,21,Terrance Ferguson,Terrance Ferguson,73158.0,4.864267760535243,-3.5161904761904745
2017,22,Jarrett Allen,Jarrett Allen,6557.0,3.8167714123333463,18.902857142857144
2017,23,OG Anunoby,OG Anunoby,16535.0,4.218430463619232,6.520000000000001
2017,24,Tyler Lydon,Tyler Lydon,2465.0,3.3919930722597127,-6.677142857142857
2017,25,Anžejs Pasečņiks,Anžejs Pasečņiks,8430.0,3.925879089301501,-6.628571428571429
2017,26,Caleb Swanigan,Caleb Swanigan,150152.0,5.176534013660741,-6.873333333333334
2017,27,Kyle Kuzma,Kyle Kuzma,181.0,2.2600713879850747,5.902105263157894
2017,28,Tony Bradley,Tony Bradley (basketball),3812.0,3.5812668052736707,-0.5436090225563923
2017,29,Derrick White,Derrick White,250.0,2.399673721481038,4.215438596491227
2017,30,Josh Hart,Josh Hart,1087.0,3.036628895362161,6.475438596491228
2017,31,Frank Jackson,Frank Jackson (basketball),57136.0,4.756917433847751,-2.726466165413533
2017,32,Davon Reed,Davon Reed,0.0,0.0,-4.489523809523809
2017,33,Wes Iwundu,Wes Iwundu,0.0,0.0,0.47142857142857153
2017,34,Frank Mason III,Frank Mason III,177467.0,5.24912005498944,-2.4466666666666663
2017,35,Ivan Rabb,Ivan Rabb,35974.0,4.556000802608643,-0.6904761904761907
2017,36,Jonah Bolden,Jonah Bolden,31482.0,4.498076109372166,-3.0342857142857143
2017,37,Semi Ojeleye,Semi Ojeleye,4133.0,3.6163704722912695,0.696190476190476
2017,38,Jordan Bell,Jordan Bell,5485.0,3.739255803268511,0.816190476190477
2017,39,Jawun Evans,Jawun Evans,5494.0,3.7399676967595092,-4.423809523809524
2017,40,Dwayne Bacon,Dwayne Bacon,29913.0,4.475874489319437,-3.076190476190476
2017,41,Tyler Dorsey,Tyler Dorsey,67882.0,4.8317610271438065,-2.3819047619047615
2017,42,Thomas Bryant,Thomas Bryant,296.0,2.4727564493172123,7.400952380952381
2017,43,Isaiah Hartenstein,Isaiah Hartenstein,30257.0,4.480840218542777,0.054285714285714715
2017,44,Damyean Dotson,Damyean Dotson,0.0,0.0,0.07238095238095221
2017,45,Dillon Brooks,Dillon Brooks,71929.0,4.856910060300787,1.1009523809523807
2017,46,Sterling Brown,Sterling Brown (basketball),0.0,0.0,3.2342857142857144
2017,47,Ike Anigbogu,Ike Anigbogu,5470.0,3.738066714777469,-2.56
2017,48,Sindarius Thornwell,Sindarius Thornwell,63205.0,4.800758306814154,-1.2533333333333334
2017,49,Vlatko Čančar,Vlatko Čančar,7259.0,3.8609366207000937,-1.7580952380952382
2017,50,Mathias Lessort,Mathias Lessort,2001.0,3.3014640731433,-1.9266666666666665
2017,51,Monte Morris,Monte (name),0.0,0.0,11.470476190476191
2017,52,Edmond Sumner,Edmond Sumner,1217.0,3.0856472882968564,0.6723809523809523
2017,53,Kadeem Allen,Kadeem Allen,0.0,0.0,0.06380952380952398
2017,54,Alec Peters,Alec Peters,8027.0,3.904607363815448,-0.5266666666666668
2017,55,Nigel Williams-Goss,Nigel Williams-Goss,121123.0,5.083230204537462,-0.6161904761904762
2017,56,Jabari Bird,Jabari Bird,0.0,0.0,-0.4047619047619047
2017,57,Sasha Vezenkov,Aleksandar Vezenkov,23689.0,4.374565060722765,-0.5459383753501401
2017,58,Ognjen Jaramaz,Ognjen Jaramaz,6034.0,3.780677274433368,-0.7651050420168067
2017,59,Jaron Blossomgame,Jaron Blossomgame,639.0,2.806179973983887,-0.42900035014005594
2017,60,Alpha Kaba,Alpha Kaba,9937.0,3.997298992409514,-0.9085084033613445
2018,1,Deandre Ayton,Deandre Ayton,185522.0,5.268397758446401,7.001587301587303
