draft_year,pick,player,season,season_index,ws
2001,4,Eddy Curry,2002.0,1.0,1.8
2001,20,Brendan Haywood,2002.0,1.0,3.1
2001,6,Shane Battier,2002.0,1.0,4.8
2001,21,Joseph Forte,2002.0,1.0,-0.1
2001,22,Jeryl Sasser,2002.0,1.0,-0.1
2001,23,Brandon Armstrong,2002.0,1.0,-0.2
2001,15,Steven Hunter,2002.0,1.0,1.0
2001,16,Kirk Haston,2002.0,1.0,-0.2
2001,17,Michael Bradley,2002.0,1.0,0.1
2001,18,Jason Collins,2002.0,1.0,3.0
2001,13,Richard Jefferson,2002.0,1.0,4.7
2001,12,Vladimir Radmanović,2002.0,1.0,2.1
2001,11,Kedrick Brown,2002.0,1.0,0.4
2001,10,Joe Johnson,2002.0,1.0,3.0
2001,9,Rodney White,2002.0,1.0,-0.2
2001,8,DeSagana Diop,2002.0,1.0,-0.3
2001,7,Eddie Griffin,2002.0,1.0,2.4
2000,4,Marcus Fizer,2002.0,2.0,1.1
2000,22,Donnell Harvey,2002.0,2.0,1.8
2000,21,Morris Peterson,2002.0,2.0,4.9
2000,20,Speedy Claxton,2002.0,2.0,2.8
2000,19,Jamaal Magloire,2002.0,2.0,5.7
2001,14,Troy Murphy,2002.0,1.0,1.4
2000,16,Hedo Türkoğlu,2002.0,2.0,5.2
2000,2,Stromile Swift,2002.0,2.0,3.7
2000,23,DeShawn Stevenson,2002.0,2.0,-0.2
2000,3,Darius Miles,2002.0,2.0,3.4
2001,8,DeSagana Diop,2003.0,2.0,-0.2
2001,7,Eddie Griffin,2003.0,2.0,3.9
2001,19,Zach Randolph,2003.0,2.0,4.8
2001,18,Jason Collins,2003.0,2.0,4.7
2001,17,Michael Bradley,2003.0,2.0,1.5
2000,11,Jérôme Moïso,2003.0,3.0,1.5
2000,2,Stromile Swift,2003.0,3.0,3.3
2000,1,Kenyon Martin,2003.0,3.0,7.1
2002,32,Robert Archibald,2003.0,1.0,-0.2
2002,31,Roger Mason,2003.0,1.0,0.1
2002,48,Chris Owens,2003.0,1.0,0.0
2000,21,Morris Peterson,2003.0,3.0,3.2
2000,20,Speedy Claxton,2003.0,3.0,1.2
2001,14,Troy Murphy,2003.0,2.0,6.4
2001,13,Richard Jefferson,2003.0,2.0,9.9
2001,12,Vladimir Radmanović,2003.0,2.0,2.7
2001,11,Kedrick Brown,2003.0,2.0,0.5
2001,16,Kirk Haston,2003.0,2.0,-0.4
2001,15,Steven Hunter,2003.0,2.0,0.9
2001,23,Brandon Armstrong,2003.0,2.0,-0.1
2001,22,Jeryl Sasser,2003.0,2.0,0.8
2001,21,Joseph Forte,2003.0,2.0,-0.3
2001,20,Brendan Haywood,2003.0,2.0,5.0
2001,30,Trenton Hassell,2003.0,2.0,-0.1
2002,54,Tamar Slay,2003.0,1.0,0.0
2002,26,John Salmons,2003.0,1.0,0.6
2002,42,Ronald Murray,2003.0,1.0,-0.3
2002,38,Tito Maddox,2003.0,1.0,0.0
2002,35,Carlos Boozer,2003.0,1.0,5.9
2002,34,Dan Gadzuric,2003.0,1.0,1.2
2002,33,Vincent Yarbrough,2003.0,1.0,1.0
2002,28,Dan Dickau,2003.0,1.0,0.0
2002,27,Chris Jefferies,2003.0,1.0,-0.5
2002,53,Rasual Butler,2003.0,1.0,0.1
2002,47,Jamal Sampson,2003.0,1.0,0.0
2002,44,Lonny Baxter,2003.0,1.0,0.9
2001,28,Tony Parker,2003.0,2.0,7.7
2001,27,Jamaal Tinsley,2003.0,2.0,3.7
2001,25,Gerald Wallace,2003.0,2.0,0.9
2001,6,Shane Battier,2003.0,2.0,6.2
2002,25,Frank Williams,2003.0,1.0,-0.1
2002,23,Tayshaun Prince,2003.0,1.0,0.8
2002,22,Casey Jacobsen,2003.0,1.0,1.2
2002,21,Qyntel Woods,2003.0,1.0,0.2
2000,10,Keyon Dooling,2003.0,3.0,0.3
2000,9,Joel Przybilla,2003.0,3.0,0.6
2002,20,Kareem Rush,2003.0,1.0,-0.6
2002,10,Caron Butler,2003.0,1.0,5.1
2002,9,Amar'e Stoudemire,2003.0,1.0,6.2
2002,19,Ryan Humphrey,2003.0,1.0,-0.5
2002,17,Juan Dixon,2003.0,1.0,0.1
2002,16,Jiří Welsch,2003.0,1.0,-0.4
2002,15,Boštjan Nachbar,2003.0,1.0,-0.1
2002,14,Fred Jones,2003.0,1.0,0.0
2001,5,Jason Richardson,2003.0,2.0,3.7
2001,4,Eddy Curry,2003.0,2.0,3.5
2001,3,Pau Gasol,2003.0,2.0,8.5
2001,35,Brian Scalabrine,2003.0,2.0,1.0
2001,34,Terence Morris,2003.0,2.0,0.9
2000,15,Jason Collier,2003.0,3.0,0.3
2002,13,Marcus Haislip,2003.0,1.0,0.0
2002,12,Melvin Ely,2003.0,1.0,0.8
2002,11,Jared Jeffries,2003.0,1.0,0.3
2000,39,Lavor Postell,2003.0,3.0,-0.1
2000,38,Eduardo Nájera,2003.0,3.0,4.0
2000,37,Eddie House,2003.0,3.0,0.7
2000,36,Soumaila Samake,2003.0,3.0,0.2
2002,8,Chris Wilcox,2003.0,1.0,0.6
2002,7,Nenê,2003.0,1.0,5.0
2002,6,Dajuan Wagner,2003.0,1.0,0.3
2002,5,Nikoloz Tskitishvili,2003.0,1.0,-1.0
2001,31,Gilbert Arenas,2003.0,2.0,6.5
2001,41,Jamison Brewer,2003.0,2.0,0.2
