draft_year,pick,player,wiki_title,resolved,views_predraft,months_with_data
2017,39,Jawun Evans,Jawun Evans,True,5494.0,3
2017,40,Dwayne Bacon,Dwayne Bacon,True,29913.0,11
2017,41,Tyler Dorsey,Tyler Dorsey,True,67882.0,11
2017,42,Thomas Bryant,Thomas Bryant,True,296.0,11
2017,43,Isaiah Hartenstein,Isaiah Hartenstein,True,30257.0,11
2017,44,Damyean Dotson,Damyean Dotson,True,0.0,0
2017,45,Dillon Brooks,Dillon Brooks,True,71929.0,11
2017,46,Sterling Brown,Sterling Brown (basketball),True,0.0,0
2017,47,Ike Anigbogu,Ike Anigbogu,True,5470.0,2
2017,48,Sindarius Thornwell,Sindarius Thornwell,True,63205.0,11
2017,49,Vlatko Čančar,Vlatko Čančar,True,7259.0,11
2017,50,Mathias Lessort,Mathias Lessort,True,2001.0,11
2017,51,Monte Morris,Monte (name),True,0.0,0
2017,52,Edmond Sumner,Edmond Sumner,True,1217.0,2
2017,53,Kadeem Allen,Kadeem Allen,True,0.0,0
2017,54,Alec Peters,Alec Peters,True,8027.0,11
2017,55,Nigel Williams-Goss,Nigel Williams-Goss,True,121123.0,11
2017,56,Jabari Bird,Jabari Bird,True,0.0,1
2017,57,Sasha Vezenkov,Aleksandar Vezenkov,True,23689.0,11
2017,58,Ognjen Jaramaz,Ognjen Jaramaz,True,6034.0,11
2017,59,Jaron Blossomgame,Jaron Blossomgame,True,639.0,2
2017,60,Alpha Kaba,Alpha Kaba,True,9937.0,11
2018,1,Deandre Ayton,Deandre Ayton,True,185522.0,3
2018,2,Marvin Bagley III,Marvin Bagley III,True,483935.0,11
2018,3,Luka Dončić,Luka Dončić,True,700717.0,11
2018,4,Jaren Jackson Jr.,Jaren Jackson Jr.,True,126171.0,11
2018,5,Trae Young,Trae Young,True,716374.0,11
2018,6,Mo Bamba,Mo Bamba,True,1755.0,11
2018,7,Wendell Carter Jr.,Wendell Carter Jr.,True,0.0,0
2018,8,Collin Sexton,Collin Sexton,True,149165.0,11
2018,9,Kevin Knox,Kevin Knox II,True,0.0,0
2018,10,Mikal Bridges,Mikal Bridges,True,133910.0,11
